id	reel_id...					
crate_ammo0	crate_ammo0	crate_ammo0	crate_ammo0			
crate_ammo1	crate_ammo1	crate_ammo1	crate_ammo1			
crate_health0	crate_health0	crate_health0	crate_health0			
crate_gun0	crate_gun0	crate_gun0	crate_gun0			
crate_gun1	crate_gun1	crate_gun1	crate_gun1			
crate_melee0	crate_melee0	crate_melee0	crate_melee0			
crate_armor0	crate_armor0	crate_armor0	crate_armor0			
crate_mod0	crate_mod0	crate_mod0	crate_mod0			
player	player_move_1h	player_move_2h	player_melee	player_shoot_1h	player_shoot_2h	player_die
zombie	zombie_move	zombie_melee	zombie_die			
dog	dog_move	dog_melee	dog_die			
bat	bat_move	bat_melee	bat_die			
spider	spider_move	spider_melee	spider_die			
skeleton	skeleton_move	skeleton_melee	skeleton_die			
beast	beast_move	beast_melee	beast_die			
fighter	fighter_move	fighter_melee	fighter_die			
gunner	gunner_move	gunner_shoot	gunner_die			
demon	demon_move	demon_melee	demon_die			
alien	alien_move	alien_shoot	alien_die			
